Vervotech ID,SupplierHotelId,SupplierName,GroupId,HotelBeds RoomCode,HotelBeds RoomName,Vervotech MappedStandardName
15111741,782331,HotelBeds,15111741-1,APT.KG-PE,APARTMENT PREMIER KING BED,Apartment Premier
15111788,782334,HotelBeds,15111788-1,APT.2K,APARTMENT TWO KING BEDS,Apartment
15131097,782325,HotelBeds,15131097-1,APT.KG,APARTMENT KING SIZE BED,Apartment
15294880,766775,HotelBeds,15294880-1,DBL.QN,DOUBLE QUEEN SIZE BED,Queen Room
15294880,766775,HotelBeds,15294880-2,SUI.KG-1,SUITE KING SIZE BED,Suite
15324900,141230,HotelBeds,15324900-1,DBL.2Q-DX,2 Queen Beds Deluxe Nonsmoke,"Deluxe, 2 Queen"
15324900,141230,HotelBeds,15324900-1,ROO.2Q-DX,TWO QUEEN BEDS DELUXE NONSMOKE,"Deluxe, 2 Queen"
15324900,141230,HotelBeds,15324900-2,DBL.DX-KG,King Deluxe Accessible Roll Shwr Nosmk,"Deluxe, King, Accessible"
15324900,141230,HotelBeds,15324900-3,DBL.KG,KING LEISURE NONSMOKE,King Room
15324900,141230,HotelBeds,15324900-4,DBL.H6-KG,DOUBLE Accessible KING SIZE BED,"King Room, Accessible"
15324900,141230,HotelBeds,15324900-5,DBL.CV-KG,DOUBLE CITY VIEW KING BED,"King Room, City View"
15324900,141230,HotelBeds,15324900-6,QUA.2Q-NM,QUADRUPLE TWO QUEEN BEDS NON SMOKING,Quadruple Room
15324900,141230,HotelBeds,15324900-7,DBL.NM-QN,1 QUEEN BED NONSMOKING,Queen Room
15324900,141230,HotelBeds,15324900-7,ROO.NM-QN,Room QUEEN BED NON SMOKING,Queen Room
15324900,141230,HotelBeds,15324900-7,DBL.QN,DOUBLE QUEEN SIZE BED,Queen Room
15324900,141230,HotelBeds,15324900-8,DBT.2Q,Double or Twin TWO QUEEN BEDS,Room - 2 Queen
15324900,141230,HotelBeds,15324900-8,DBL.2Q,DOUBLE TWO QUEEN BEDS,Room - 2 Queen
15324900,141230,HotelBeds,15324900-9,DBL.H6-2Q,DOUBLE Accessible-Two Queen Beds,"Room - 2 Queen, Accessible"
15324900,141230,HotelBeds,15324900-10,ROO.RO,Room RUN OF HOUSE,Run Of House
15324900,141230,HotelBeds,15324900-11,DBL.ST-2,DOUBLE STANDARD,Standard Room
15324900,141230,HotelBeds,15324900-11,ROO.ST-11,Room STANDARD,Standard Room
15324900,141230,HotelBeds,15324900-11,ROO.ST,STANDARD ROOM,Standard Room
15324900,141230,HotelBeds,15324900-12,SUI.NM,KING BED & LIVING ROOM SUITE NONSMOKING,Suite
15324900,141230,HotelBeds,15324900-13,SUI.B1-KG,SUITE KING BED ONE BEDROOM,"Suite, 1 Bedroom"
15333170,276800,HotelBeds,15333170-1,DBL.DX-KG,DOUBLE DELUXE KING BED,"Deluxe, King"
15333170,276800,HotelBeds,15333170-2,QUA.2Q-DX,QUADRUPLE DELUXE TWO QUEEN BEDS,"Deluxe, Quadruple"
15333170,276800,HotelBeds,15333170-3,DBL.DX-QN,DOUBLE DELUXE QUEEN BED,"Deluxe, Queen"
15333170,276800,HotelBeds,15333170-4,DBL.KG,DOUBLE KING SIZE BED,King Room
15333170,276800,HotelBeds,15333170-5,DBL.LX,DOUBLE LUXURY,Luxury
15333170,276800,HotelBeds,15333170-6,DBL.QN,DOUBLE QUEEN SIZE BED,Queen Room
15471297,45947,HotelBeds,15471297-1,DBL.H6,DOUBLE Accessible,Accessible Room
15471297,45947,HotelBeds,15471297-2,DBL.2Q-1,2 Queen Beds Corner,"Corner, 2 Queen"
15471297,45947,HotelBeds,15471297-3,ROO.KG-NM,1 King Bed Corner,"Corner, King"
15471297,45947,HotelBeds,15471297-4,ROO.EJ,Room EXECUTIVE,Executive
15471297,45947,HotelBeds,15471297-4,DBL.EJ-1,DOUBLE EXECUTIVE,Executive
15471297,45947,HotelBeds,15471297-5,SUI.EJ-KG,Executive Suite,Executive Suite
15471297,45947,HotelBeds,15471297-5,SUI.2D-EJ,SUITE EXECUTIVE 2 DOUBLE BEDS,Executive Suite
15471297,45947,HotelBeds,15471297-5,SUI.EJ-5,SUITE EXECUTIVE,Executive Suite
15471297,45947,HotelBeds,15471297-6,DBL.EJ-KG,Executive Terrace,"Executive, King, Terrace"
15471297,45947,HotelBeds,15471297-7,JSU.ST,JUNIOR SUITE STANDARD,Junior Suite
15471297,45947,HotelBeds,15471297-7,JSU.S9,JUNIOR SUITE Private external bathroom,Junior Suite
15471297,45947,HotelBeds,15471297-7,JSU.KG-8,JUNIOR SUITE KING SIZE BED,Junior Suite
15471297,45947,HotelBeds,15471297-7,JSU.KG,Junior Suite,Junior Suite
15471297,45947,HotelBeds,15471297-8,ROO.KG,Room KING SIZE BED,King Room
15471297,45947,HotelBeds,15471297-8,DBL.KG,DOUBLE KING SIZE BED,King Room
15471297,45947,HotelBeds,15471297-8,DBL.KG-NM,1 King Bed,King Room
15471297,45947,HotelBeds,15471297-9,DBL.CV-KG,DOUBLE CITY VIEW KING BED,"King Room, City View"
15471297,45947,HotelBeds,15471297-9,ROO.CV-KG,1 King Bed with City View,"King Room, City View"
15471297,45947,HotelBeds,15471297-10,DBL.KG-PI,DOUBLE PREMIUM KING BED,"Premium, King"
15471297,45947,HotelBeds,15471297-10,SGL.KG-PI,SINGLE PREMIUM KING BED,"Premium, King"
15471297,45947,HotelBeds,15471297-11,DBL.6S,DOUBLE Presidential,Presidential
15471297,45947,HotelBeds,15471297-12,SUI.6S,Presidential Suite,Presidential Suite
15471297,45947,HotelBeds,15471297-12,SUI.6S-4,SUITE Presidential,Presidential Suite
15471297,45947,HotelBeds,15471297-13,QUA.2D,QUADRUPLE TWO DOUBLE BEDS,Quadruple Room
15471297,45947,HotelBeds,15471297-14,QUA.H6,QUADRUPLE Accessible,"Quadruple Room, Accessible"
15471297,45947,HotelBeds,15471297-15,DBL.NM-QN,ADA Queen/Queen Shower,"Queen Room, Accessible"
15471297,45947,HotelBeds,15471297-15,DBL.2Q-2,ADA Queen/Queen Tub,"Queen Room, Accessible"
15471297,45947,HotelBeds,15471297-16,TWN.2D-CV,TWIN CITY VIEW TWO DOUBLE BEDS,"Room - 2 Double, City View"
15471297,45947,HotelBeds,15471297-17,DBL.2D-1,DOUBLE TWO DOUBLE BEDS,Room - 2 Queen
15471297,45947,HotelBeds,15471297-17,DBL.2Q,DOUBLE TWO QUEEN BEDS,Room - 2 Queen
15471297,45947,HotelBeds,15471297-17,ROO.2Q,Room TWO QUEEN BEDS,Room - 2 Queen
15471297,45947,HotelBeds,15471297-17,ROO.2D,Room TWO DOUBLE BEDS,Room - 2 Queen
15471297,45947,HotelBeds,15471297-18,DBL.H6-2Q,DOUBLE Accessible-Two Queen Beds,"Room - 2 Queen, Accessible"
15471297,45947,HotelBeds,15471297-19,QUA.2Q-NM,"2 Queen Beds, with City View","Room - 2 Queen, City View"
15471297,45947,HotelBeds,15471297-19,DBL.2Q-CV,DOUBLE CITY VIEW TWO QUEEN BEDS,"Room - 2 Queen, City View"
